"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-01","87","98","79"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-02","86","94","79"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-03","87","96","79"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-04","86","93","80"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-05","84","92","75"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-06","85","94","75"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-07","87","97","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-08","87","95","79"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-09","85","93","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-10","84","91","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-11","84","91","74"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-12","85","92","77"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-13","83","88","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-14","87","98","78"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-15","85","94","79"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-16","83","90","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-17","85","93","77"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-18","86","92","78"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-19","83","89","78"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-20","81","84","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-21","84","89","80"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-22","84","90","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-23","84","90","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-24","84","88","78"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-25","84","89","80"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-26","83","90","75"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-27","85","90","78"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-28","84","91","77"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-29","83","92","73"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-30","83","91","72"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-07-31","83","92","73"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-01","82","91","72"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-02","82","90","73"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-03","83","91","73"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-04","84","92","74"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-05","84","92","74"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-06","82","90","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-07","84","94","73"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-08","86","97","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-09","87","96","78"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-10","87","98","80"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-11","85","96","77"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-12","85","93","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-13","86","95","80"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-14","87","97","80"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-15","87","96","81"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-16","86","92","77"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-17","85","92","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-18","86","94","77"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-19","86","95","78"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-20","87","93","78"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-21","86","92","77"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-22","85","93","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-23","83","95","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-24","85","95","74"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-25","86","94","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-26","85","96","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-27","85","95","75"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-28","85","96","77"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-29","86","100","77"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-30","86","98","79"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-08-31","88","101","80"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-09-01","83","93","78"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-09-02","81","88","75"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-09-03","84","92","77"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-09-04","83","91","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-09-05","86","91","80"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-09-06","83","92","75"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-09-07","77","83","74"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-09-08","77","82","74"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-09-09","80","87","74"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-09-10","80","85","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-09-27","87","95","79"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-09-28","85","99","75"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-09-29","84","92","74"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-09-30","84","92","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-01","85","91","82"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-02","83","90","75"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-03","84","90","79"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-04","82","88","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-05","84","90","81"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-06","83","89","78"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-07","69","75","60"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-08","65","73","57"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-09","75","83","60"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-10","83","94","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-11","82","90","78"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-12","80","87","74"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-13","81","87","77"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-14","81","88","76"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-15","77","87","69"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-16","77","86","68"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-17","74","85","64"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-18","75","85","63"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-19","75","87","64"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-20","75","86","64"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-21","76","86","65"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-22","74","83","66"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-23","75","84","61"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-24","60","72","56"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-25","61","74","51"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-26","67","78","49"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-27","74","83","67"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-28","73","79","67"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-29","72","80","66"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-30","73","83","62"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-10-31","74","83","64"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-01","62","72","53"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-02","64","78","51"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-03","68","80","55"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-04","72","85","60"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-05","76","87","66"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-06","78","85","71"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-07","78","85","71"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-08","78","85","71"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-09","77","86","71"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-10","76","84","70"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-11","76","83","67"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-12","78","87","71"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-13","77","85","70"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-14","76","85","68"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-15","78","88","63"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-16","55","64","52"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-17","60","69","48"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-18","66","69","64"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-19","62","66","60"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-20","56","65","45"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-21","57","76","43"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-22","61","83","46"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-23","65","86","47"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-24","68","85","56"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-25","70","79","60"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-26","74","83","69"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-27","76","84","70"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-28","63","73","48"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-29","59","73","46"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-11-30","67","75","52"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-01","71","80","62"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-02","72","80","64"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-03","75","84","69"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-04","74","81","63"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-05","56","63","50"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-06","60","68","48"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-07","66","80","43"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-08","36","40","35"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-09","41","46","35"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-10","51","57","44"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-11","58","67","53"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-12","61","68","53"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-13","67","75","57"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-14","71","78","62"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-15","55","60","46"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-16","62","65","54"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-17","51","60","48"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-18","56","63","51"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-19","58","60","54"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-20","60","68","55"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-21","56","62","47"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-22","54","68","43"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-23","63","80","46"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-24","63","74","48"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-25","58","78","43"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-26","65","81","49"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-27","70","83","61"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-28","64","77","54"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-29","67","77","53"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-30","68","78","60"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2005-12-31","68","78","58"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-01","71","84","64"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-02","70","83","57"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-03","69","81","62"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-04","70","79","62"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-05","62","69","48"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-06","53","68","42"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-07","55","77","37"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-08","64","79","49"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-09","69","81","59"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-10","59","65","49"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-11","61","73","45"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-12","71","81","63"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-13","61","69","47"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-14","55","70","40"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-15","66","79","50"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-16","70","82","60"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-17","56","67","41"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-18","59","76","36"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-19","69","76","63"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-20","72","80","65"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-21","60","67","52"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-22","54","58","51"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-23","54","57","52"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-24","58","67","52"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-25","60","72","50"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-26","65","74","58"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-27","68","75","61"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-28","71","78","66"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-29","70","82","61"
"USR0000TLAG","LAGUNA ATASCOSA TEXAS, TX US","2006-01-30","69","81","60"
